behavior,n_frames,fraction,sex_group,split,mouse,record_key,annotator,file
other,10625,0.7822853777057871,Female_likely,test,012,Female_likely__test__mouse012,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_test_mouse012/Manual_Scoring_annotator2.csv
investigation,2295,0.16897364158445,Female_likely,test,012,Female_likely__test__mouse012,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_test_mouse012/Manual_Scoring_annotator2.csv
mount,662,0.04874098070976292,Female_likely,test,012,Female_likely__test__mouse012,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_test_mouse012/Manual_Scoring_annotator2.csv
other,13881,0.7363535090976606,Female_likely,train,002,Female_likely__train__mouse002,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse002/Manual_Scoring_annotator2.csv
investigation,4464,0.2368044135589624,Female_likely,train,002,Female_likely__train__mouse002,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse002/Manual_Scoring_annotator2.csv
mount,506,0.02684207734337701,Female_likely,train,002,Female_likely__train__mouse002,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse002/Manual_Scoring_annotator2.csv
other,10403,0.630714199102704,Female_likely,train,003,Female_likely__train__mouse003,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse003/Manual_Scoring_annotator2.csv
investigation,3977,0.2411179822965927,Female_likely,train,003,Female_likely__train__mouse003,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse003/Manual_Scoring_annotator2.csv
mount,2114,0.12816781860070328,Female_likely,train,003,Female_likely__train__mouse003,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse003/Manual_Scoring_annotator2.csv
other,15774,0.659337903360642,Female_likely,train,011,Female_likely__train__mouse011,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse011/Manual_Scoring_annotator2.csv
investigation,6958,0.29083765256646044,Female_likely,train,011,Female_likely__train__mouse011,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse011/Manual_Scoring_annotator2.csv
mount,1192,0.04982444407289751,Female_likely,train,011,Female_likely__train__mouse011,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator2_train_mouse011/Manual_Scoring_annotator2.csv
other,14136,0.7321696793908945,Female_likely,test,008,Female_likely__test__mouse008,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse008/Manual_Scoring_annotator3.csv
investigation,3088,0.15994198995183095,Female_likely,test,008,Female_likely__test__mouse008,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse008/Manual_Scoring_annotator3.csv
mount,2083,0.10788833065727456,Female_likely,test,008,Female_likely__test__mouse008,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse008/Manual_Scoring_annotator3.csv
other,14226,0.7368312011187652,Female_likely,test,008,Female_likely__test__mouse008,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse008/Manual_Scoring_annotator4.csv
investigation,3361,0.1740819391930388,Female_likely,test,008,Female_likely__test__mouse008,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse008/Manual_Scoring_annotator4.csv
mount,1720,0.08908685968819599,Female_likely,test,008,Female_likely__test__mouse008,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse008/Manual_Scoring_annotator4.csv
other,7890,0.4017720745493431,Female_likely,test,010,Female_likely__test__mouse010,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse010/Manual_Scoring_annotator3.csv
investigation,6597,0.33593033913840514,Female_likely,test,010,Female_likely__test__mouse010,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse010/Manual_Scoring_annotator3.csv
mount,5151,0.26229758631225175,Female_likely,test,010,Female_likely__test__mouse010,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse010/Manual_Scoring_annotator3.csv
other,7762,0.3952540991954374,Female_likely,test,010,Female_likely__test__mouse010,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse010/Manual_Scoring_annotator4.csv
investigation,6852,0.3489153681637641,Female_likely,test,010,Female_likely__test__mouse010,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse010/Manual_Scoring_annotator4.csv
mount,5024,0.25583053264079847,Female_likely,test,010,Female_likely__test__mouse010,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_test_mouse010/Manual_Scoring_annotator4.csv
other,16964,0.6983369010373786,Female_likely,train,001,Female_likely__train__mouse001,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse001/Manual_Scoring_annotator3.csv
investigation,4444,0.1829408858883583,Female_likely,train,001,Female_likely__train__mouse001,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse001/Manual_Scoring_annotator3.csv
mount,2884,0.11872221307426313,Female_likely,train,001,Female_likely__train__mouse001,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse001/Manual_Scoring_annotator3.csv
other,17286,0.7115922937592624,Female_likely,train,001,Female_likely__train__mouse001,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse001/Manual_Scoring_annotator4.csv
investigation,4275,0.17598386300016466,Female_likely,train,001,Female_likely__train__mouse001,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse001/Manual_Scoring_annotator4.csv
mount,2731,0.11242384324057303,Female_likely,train,001,Female_likely__train__mouse001,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse001/Manual_Scoring_annotator4.csv
other,3558,0.5357626863424183,Female_likely,train,005,Female_likely__train__mouse005,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse005/Manual_Scoring_annotator3.csv
investigation,2305,0.3470862821864177,Female_likely,train,005,Female_likely__train__mouse005,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse005/Manual_Scoring_annotator3.csv
mount,778,0.11715103147116399,Female_likely,train,005,Female_likely__train__mouse005,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse005/Manual_Scoring_annotator3.csv
other,3448,0.5191989158259298,Female_likely,train,005,Female_likely__train__mouse005,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse005/Manual_Scoring_annotator4.csv
investigation,2817,0.4241831049540732,Female_likely,train,005,Female_likely__train__mouse005,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse005/Manual_Scoring_annotator4.csv
mount,376,0.05661797921999699,Female_likely,train,005,Female_likely__train__mouse005,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse005/Manual_Scoring_annotator4.csv
other,7887,0.42298616325217203,Female_likely,train,007,Female_likely__train__mouse007,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse007/Manual_Scoring_annotator3.csv
mount,6498,0.34849297436447496,Female_likely,train,007,Female_likely__train__mouse007,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse007/Manual_Scoring_annotator3.csv
investigation,4261,0.228520862383353,Female_likely,train,007,Female_likely__train__mouse007,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse007/Manual_Scoring_annotator3.csv
other,7754,0.41585326611605705,Female_likely,train,007,Female_likely__train__mouse007,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse007/Manual_Scoring_annotator4.csv
mount,6481,0.3475812506703851,Female_likely,train,007,Female_likely__train__mouse007,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse007/Manual_Scoring_annotator4.csv
investigation,4411,0.23656548321355786,Female_likely,train,007,Female_likely__train__mouse007,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse007/Manual_Scoring_annotator4.csv
other,14226,0.7368312011187652,Female_likely,test,008,Female_likely__test__mouse008,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_test_mouse008/Manual_Scoring_annotator4.csv
investigation,3361,0.1740819391930388,Female_likely,test,008,Female_likely__test__mouse008,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_test_mouse008/Manual_Scoring_annotator4.csv
mount,1720,0.08908685968819599,Female_likely,test,008,Female_likely__test__mouse008,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_test_mouse008/Manual_Scoring_annotator4.csv
other,7762,0.3952540991954374,Female_likely,test,010,Female_likely__test__mouse010,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_test_mouse010/Manual_Scoring_annotator4.csv
investigation,6852,0.3489153681637641,Female_likely,test,010,Female_likely__test__mouse010,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_test_mouse010/Manual_Scoring_annotator4.csv
mount,5024,0.25583053264079847,Female_likely,test,010,Female_likely__test__mouse010,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_test_mouse010/Manual_Scoring_annotator4.csv
other,17286,0.7115922937592624,Female_likely,train,001,Female_likely__train__mouse001,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse001/Manual_Scoring_annotator4.csv
investigation,4275,0.17598386300016466,Female_likely,train,001,Female_likely__train__mouse001,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse001/Manual_Scoring_annotator4.csv
mount,2731,0.11242384324057303,Female_likely,train,001,Female_likely__train__mouse001,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse001/Manual_Scoring_annotator4.csv
other,3558,0.5357626863424183,Female_likely,train,005,Female_likely__train__mouse005,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse005/Manual_Scoring_annotator3.csv
investigation,2305,0.3470862821864177,Female_likely,train,005,Female_likely__train__mouse005,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse005/Manual_Scoring_annotator3.csv
mount,778,0.11715103147116399,Female_likely,train,005,Female_likely__train__mouse005,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse005/Manual_Scoring_annotator3.csv
other,7754,0.41585326611605705,Female_likely,train,007,Female_likely__train__mouse007,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse007/Manual_Scoring_annotator4.csv
mount,6481,0.3475812506703851,Female_likely,train,007,Female_likely__train__mouse007,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse007/Manual_Scoring_annotator4.csv
investigation,4411,0.23656548321355786,Female_likely,train,007,Female_likely__train__mouse007,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse007/Manual_Scoring_annotator4.csv
other,11294,0.6159131810001636,Female_likely,test,021,Female_likely__test__mouse021,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_test_mouse021/Manual_Scoring_annotator5.csv
investigation,6637,0.3619457926596499,Female_likely,test,021,Female_likely__test__mouse021,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_test_mouse021/Manual_Scoring_annotator5.csv
mount,406,0.02214102634018651,Female_likely,test,021,Female_likely__test__mouse021,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_test_mouse021/Manual_Scoring_annotator5.csv
other,11228,0.625585023400936,Female_likely,train,002,Female_likely__train__mouse002,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse002/Manual_Scoring_annotator5.csv
investigation,6197,0.3452752395810118,Female_likely,train,002,Female_likely__train__mouse002,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse002/Manual_Scoring_annotator5.csv
mount,523,0.02913973701805215,Female_likely,train,002,Female_likely__train__mouse002,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse002/Manual_Scoring_annotator5.csv
other,5219,0.5402132284442605,Female_likely,train,024,Female_likely__train__mouse024,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse024/Manual_Scoring_annotator5.csv
investigation,4330,0.4481937687609978,Female_likely,train,024,Female_likely__train__mouse024,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse024/Manual_Scoring_annotator5.csv
mount,112,0.011593002794741744,Female_likely,train,024,Female_likely__train__mouse024,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse024/Manual_Scoring_annotator5.csv
other,8227,0.7815884476534296,Female_likely,train,025,Female_likely__train__mouse025,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse025/Manual_Scoring_annotator5.csv
investigation,1985,0.1885806574197226,Female_likely,train,025,Female_likely__train__mouse025,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse025/Manual_Scoring_annotator5.csv
mount,314,0.029830894926847807,Female_likely,train,025,Female_likely__train__mouse025,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse025/Manual_Scoring_annotator5.csv
other,12042,0.6247470817120623,Male_likely,test,005,Male_likely__test__mouse005,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse005/Manual_Scoring_annotator1.csv
investigation,5251,0.2724254215304799,Male_likely,test,005,Male_likely__test__mouse005,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse005/Manual_Scoring_annotator1.csv
attack,1982,0.10282749675745785,Male_likely,test,005,Male_likely__test__mouse005,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse005/Manual_Scoring_annotator1.csv
other,12000,0.6857926620185164,Male_likely,test,006,Male_likely__test__mouse006,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse006/Manual_Scoring_annotator1.csv
investigation,4221,0.24122756886501315,Male_likely,test,006,Male_likely__test__mouse006,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse006/Manual_Scoring_annotator1.csv
attack,1277,0.07297976911647046,Male_likely,test,006,Male_likely__test__mouse006,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse006/Manual_Scoring_annotator1.csv
other,12846,0.7149376669634907,Male_likely,test,007,Male_likely__test__mouse007,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse007/Manual_Scoring_annotator1.csv
investigation,3728,0.20747996438112198,Male_likely,test,007,Male_likely__test__mouse007,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse007/Manual_Scoring_annotator1.csv
attack,1394,0.07758236865538735,Male_likely,test,007,Male_likely__test__mouse007,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse007/Manual_Scoring_annotator1.csv
other,10024,0.5773860952710097,Male_likely,test,008,Male_likely__test__mouse008,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse008/Manual_Scoring_annotator1.csv
investigation,5798,0.3339669373883993,Male_likely,test,008,Male_likely__test__mouse008,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse008/Manual_Scoring_annotator1.csv
attack,1476,0.08501814411612234,Male_likely,test,008,Male_likely__test__mouse008,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse008/Manual_Scoring_annotator1.csv
mount,63,0.0036288232244686366,Male_likely,test,008,Male_likely__test__mouse008,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse008/Manual_Scoring_annotator1.csv
investigation,8619,0.5098189991718917,Male_likely,test,009,Male_likely__test__mouse009,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse009/Manual_Scoring_annotator1.csv
other,7017,0.41505974210339525,Male_likely,test,009,Male_likely__test__mouse009,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse009/Manual_Scoring_annotator1.csv
attack,1198,0.07086241571039867,Male_likely,test,009,Male_likely__test__mouse009,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse009/Manual_Scoring_annotator1.csv
mount,72,0.004258843014314445,Male_likely,test,009,Male_likely__test__mouse009,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse009/Manual_Scoring_annotator1.csv
other,14925,0.8374480978565818,Male_likely,test,010,Male_likely__test__mouse010,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse010/Manual_Scoring_annotator1.csv
investigation,1577,0.08848614072494669,Male_likely,test,010,Male_likely__test__mouse010,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse010/Manual_Scoring_annotator1.csv
attack,1320,0.07406576141847156,Male_likely,test,010,Male_likely__test__mouse010,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse010/Manual_Scoring_annotator1.csv
other,11141,0.640913536213542,Male_likely,test,011,Male_likely__test__mouse011,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse011/Manual_Scoring_annotator1.csv
investigation,4956,0.2851061381809814,Male_likely,test,011,Male_likely__test__mouse011,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse011/Manual_Scoring_annotator1.csv
attack,1286,0.07398032560547661,Male_likely,test,011,Male_likely__test__mouse011,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse011/Manual_Scoring_annotator1.csv
other,9538,0.5496455944217138,Male_likely,train,001,Male_likely__train__mouse001,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_train_mouse001/Manual_Scoring_annotator1.csv
investigation,7080,0.4079986169538408,Male_likely,train,001,Male_likely__train__mouse001,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_train_mouse001/Manual_Scoring_annotator1.csv
attack,735,0.04235578862444534,Male_likely,train,001,Male_likely__train__mouse001,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_train_mouse001/Manual_Scoring_annotator1.csv
other,11611,0.6667240884295148,Male_likely,train,002,Male_likely__train__mouse002,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_train_mouse002/Manual_Scoring_annotator1.csv
investigation,3979,0.22848119437266723,Male_likely,train,002,Male_likely__train__mouse002,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_train_mouse002/Manual_Scoring_annotator1.csv
attack,1825,0.10479471719781798,Male_likely,train,002,Male_likely__train__mouse002,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_train_mouse002/Manual_Scoring_annotator1.csv
other,11016,0.6325581395348837,Male_likely,train,012,Male_likely__train__mouse012,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_train_mouse012/Manual_Scoring_annotator1.csv
investigation,4442,0.25506747057134654,Male_likely,train,012,Male_likely__train__mouse012,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_train_mouse012/Manual_Scoring_annotator1.csv
attack,1957,0.11237438989376974,Male_likely,train,012,Male_likely__train__mouse012,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_train_mouse012/Manual_Scoring_annotator1.csv
other,24752,0.9163334814156671,Male_likely,test,006,Male_likely__test__mouse006,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator2_test_mouse006/Manual_Scoring_annotator2.csv
attack,1699,0.06289797127202724,Male_likely,test,006,Male_likely__test__mouse006,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator2_test_mouse006/Manual_Scoring_annotator2.csv
investigation,561,0.02076854731230564,Male_likely,test,006,Male_likely__test__mouse006,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator2_test_mouse006/Manual_Scoring_annotator2.csv
other,16697,0.5695524628189385,Male_likely,test,008,Male_likely__test__mouse008,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator2_test_mouse008/Manual_Scoring_annotator2.csv
investigation,12054,0.41117478510028654,Male_likely,test,008,Male_likely__test__mouse008,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator2_test_mouse008/Manual_Scoring_annotator2.csv
attack,565,0.019272752080775002,Male_likely,test,008,Male_likely__test__mouse008,annotator2,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator2_test_mouse008/Manual_Scoring_annotator2.csv
