record_key,sex_group,split,mouse,annotator_a,annotator_b,n_frames_compared,accuracy,balanced_accuracy,macro_f1,weighted_f1,cohen_kappa,mcc,adjusted_rand,normalized_mutual_info
Male_likely__test__mouse009,Male_likely,test,mouse009,annotator1,annotator3,16906,0.3923459126937182,0.28002854732663535,0.20028734449644958,0.29851536741278933,0.059531504696466064,0.08589653314398554,0.0077721502492616315,0.020546492314253924
Male_likely__test__mouse009,Male_likely,test,mouse009,annotator1,annotator4,16906,0.3764344019874601,0.29339636955802934,0.19098508926963795,0.2715591037673826,0.07672229657163365,0.10943039211408608,0.022389064348247934,0.03145470134681595
Male_likely__test__mouse009,Male_likely,test,mouse009,annotator2,annotator3,20199,0.6901826823110055,0.25958923446896515,0.2489716070698084,0.7020548594059618,0.02265227725230534,0.023184200330324502,0.02103013854892277,0.0032354678855123537
Male_likely__test__mouse009,Male_likely,test,mouse009,annotator2,annotator4,20199,0.6687459775236397,0.2720058604783582,0.24201271872175084,0.6878181985688958,0.04048868207093359,0.043067406150068294,0.02865008365228025,0.005758795998655996
Male_likely__test__mouse009,Male_likely,test,mouse009,annotator3,annotator4,20199,0.901529778701916,0.6844580357585811,0.6864362049371927,0.8984331691305756,0.7223439818054838,0.729468968606389,0.6664161373564781,0.4945550188457223
Male_likely__test__mouse010,Male_likely,test,mouse010,annotator1,annotator5,17822,0.6435304679609472,0.36370997522665816,0.32224316844684814,0.6754890724855915,0.05167736429896774,0.05638352024514488,0.03730490682092814,0.00732354537756817
Male_likely__test__mouse011,Male_likely,test,mouse011,annotator1,annotator5,17383,0.6283150204222516,0.34690669387483264,0.3181914337161452,0.5466236563347342,0.07105808807738878,0.09680496936725837,0.03304271776312204,0.030398619093810263
Male_likely__train__mouse001,Male_likely,train,mouse001,annotator1,annotator5,17353,0.5291880366507232,0.3947902089163982,0.38021151804952735,0.5206832285604163,0.11156574948153697,0.11512643200315303,0.04052043310185562,0.015817009423956037
Male_likely__train__mouse002,Male_likely,train,mouse002,annotator1,annotator3,17415,0.6111398219925351,0.3610657056511463,0.2633049983262741,0.5618087205752977,0.07265720809527532,0.07931643798862953,0.07642922385139278,0.021201553986210885
Male_likely__train__mouse002,Male_likely,train,mouse002,annotator1,annotator4,17415,0.6138960666092449,0.3877184080841684,0.3791008908097458,0.573988318543896,0.1075982280920218,0.11517826464687995,0.09281088120213646,0.02778494985988579
Male_likely__train__mouse002,Male_likely,train,mouse002,annotator3,annotator4,18497,0.9458831161810023,0.670101786350425,0.641432222601625,0.9467443682962342,0.8200923793789678,0.8231303771815267,0.8399373872016986,0.6691970813516401
Male_likely__train__mouse004,Male_likely,train,mouse004,annotator2,annotator3,19389,0.6272113053793388,0.26723221124437513,0.2602572801724441,0.5730120304003532,0.053089477031663335,0.05854555774327753,0.047498038996621444,0.01118695080744534
Male_likely__train__mouse004,Male_likely,train,mouse004,annotator2,annotator4,19389,0.6254577337665687,0.2712977636074583,0.26322612141894086,0.5766569674611886,0.07298053125647364,0.0785023851870585,0.07071075408261353,0.014353864115451859
Male_likely__train__mouse004,Male_likely,train,mouse004,annotator3,annotator4,19389,0.9030893805766156,0.6751614091879355,0.6538282644537937,0.9027157000485604,0.6524825604712206,0.6558090842366178,0.689883547153328,0.4468863236433701
Male_likely__train__mouse007,Male_likely,train,mouse007,annotator2,annotator5,18259,0.6190371871405882,0.2607654390991093,0.25750167164310617,0.5872931150554282,0.04758528033924647,0.04917042698971403,0.0471274485475786,0.007506599641240076
Male_likely__test__mouse003,Male_likely,test,mouse003,annotator3,annotator4,17935,0.8478394201282409,0.7937663473242283,0.7853268448118956,0.8501574762591944,0.6951843158557286,0.6999047200229856,0.527055632323398,0.4193709315772175
Male_likely__test__mouse003,Male_likely,test,mouse003,annotator3,annotator5,17935,0.5403401170894898,0.2960594368558706,0.27771169109888555,0.49404115768469625,-0.07079309797097944,-0.07697747968192092,-0.0007328657397576199,0.020972180132778597
Male_likely__test__mouse003,Male_likely,test,mouse003,annotator4,annotator5,17935,0.512684694730973,0.30490225401088517,0.27993085058302447,0.45816988585106544,-0.04702187372175537,-0.05382071898628711,0.01324049368178369,0.02189183262023253
Male_likely__train__mouse006,Male_likely,train,mouse006,annotator3,annotator4,19955,0.801904284640441,0.6381730003690005,0.6300795408857404,0.8022292295019943,0.6029545839738002,0.6249891192960384,0.4448759062162791,0.35977267151232045
Undetermined__test__mouse005,Undetermined,test,mouse005,annotator2,annotator5,17963,0.35294772588097756,0.41280505772991505,0.23531858773263217,0.35393711895952024,-0.1293087135997184,-0.1734120230366092,0.06674964536602013,0.02402781417430315
