behavior,n_bouts,mean_bout_duration_s,median_bout_duration_s,total_duration_s,bout_rate_per_min,sex_group,split,mouse,record_key,annotator,file
mount,10,21.66,21.9,216.6,0.9653544996245844,Female_likely,train,007,Female_likely__train__mouse007,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse007/Manual_Scoring_annotator3.csv
other,38,6.918421052631579,5.516666666666667,262.9,3.668347098573421,Female_likely,train,007,Female_likely__train__mouse007,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse007/Manual_Scoring_annotator3.csv
investigation,28,5.251190476190476,4.1,147.03333333333333,2.7029925989488364,Female_likely,train,007,Female_likely__train__mouse007,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse007/Manual_Scoring_annotator4.csv
mount,9,24.003703703703703,22.0,216.03333333333333,0.868819049662126,Female_likely,train,007,Female_likely__train__mouse007,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse007/Manual_Scoring_annotator4.csv
other,33,7.8323232323232315,5.733333333333333,258.46666666666664,3.185669848761129,Female_likely,train,007,Female_likely__train__mouse007,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator3_train_mouse007/Manual_Scoring_annotator4.csv
investigation,45,2.4896296296296296,1.6,112.03333333333333,4.195369555083648,Female_likely,test,008,Female_likely__test__mouse008,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_test_mouse008/Manual_Scoring_annotator4.csv
mount,16,3.5833333333333335,2.1666666666666665,57.333333333333336,1.4916869529186303,Female_likely,test,008,Female_likely__test__mouse008,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_test_mouse008/Manual_Scoring_annotator4.csv
other,46,10.308695652173913,8.066666666666666,474.2,4.288599989641062,Female_likely,test,008,Female_likely__test__mouse008,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_test_mouse008/Manual_Scoring_annotator4.csv
investigation,38,6.010526315789474,3.666666666666667,228.4,3.4830430797433545,Female_likely,test,010,Female_likely__test__mouse010,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_test_mouse010/Manual_Scoring_annotator4.csv
mount,5,33.49333333333333,8.133333333333333,167.46666666666667,0.458295142071494,Female_likely,test,010,Female_likely__test__mouse010,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_test_mouse010/Manual_Scoring_annotator4.csv
other,38,6.8087719298245615,5.233333333333333,258.73333333333335,3.4830430797433545,Female_likely,test,010,Female_likely__test__mouse010,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_test_mouse010/Manual_Scoring_annotator4.csv
investigation,31,4.596774193548387,1.9,142.5,2.2970525275810965,Female_likely,train,001,Female_likely__train__mouse001,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse001/Manual_Scoring_annotator4.csv
mount,17,5.354901960784313,3.9,91.03333333333333,1.2596739667380206,Female_likely,train,001,Female_likely__train__mouse001,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse001/Manual_Scoring_annotator4.csv
other,41,14.053658536585367,9.9,576.2,3.0380372138975793,Female_likely,train,001,Female_likely__train__mouse001,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse001/Manual_Scoring_annotator4.csv
investigation,17,4.519607843137256,3.2,76.83333333333334,4.607739798223159,Female_likely,train,005,Female_likely__train__mouse005,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse005/Manual_Scoring_annotator3.csv
mount,15,1.728888888888889,1.2666666666666666,25.933333333333334,4.065652763138082,Female_likely,train,005,Female_likely__train__mouse005,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse005/Manual_Scoring_annotator3.csv
other,25,4.744,3.033333333333333,118.6,6.776087938563469,Female_likely,train,005,Female_likely__train__mouse005,annotator3,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse005/Manual_Scoring_annotator3.csv
investigation,28,5.251190476190476,4.1,147.03333333333333,2.7029925989488364,Female_likely,train,007,Female_likely__train__mouse007,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse007/Manual_Scoring_annotator4.csv
mount,9,24.003703703703703,22.0,216.03333333333333,0.868819049662126,Female_likely,train,007,Female_likely__train__mouse007,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse007/Manual_Scoring_annotator4.csv
other,33,7.8323232323232315,5.733333333333333,258.46666666666664,3.185669848761129,Female_likely,train,007,Female_likely__train__mouse007,annotator4,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator4_train_mouse007/Manual_Scoring_annotator4.csv
investigation,59,3.749717514124294,2.0,221.23333333333335,5.7915689589354855,Female_likely,test,021,Female_likely__test__mouse021,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_test_mouse021/Manual_Scoring_annotator5.csv
mount,6,2.2555555555555555,1.5,13.533333333333333,0.5889731144680155,Female_likely,test,021,Female_likely__test__mouse021,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_test_mouse021/Manual_Scoring_annotator5.csv
other,56,6.722619047619048,4.916666666666666,376.4666666666667,5.497082401701477,Female_likely,test,021,Female_likely__test__mouse021,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_test_mouse021/Manual_Scoring_annotator5.csv
investigation,66,3.1297979797979796,1.2666666666666666,206.56666666666666,6.619121907733453,Female_likely,train,002,Female_likely__train__mouse002,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse002/Manual_Scoring_annotator5.csv
mount,12,1.4527777777777777,1.15,17.433333333333334,1.2034767104969915,Female_likely,train,002,Female_likely__train__mouse002,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse002/Manual_Scoring_annotator5.csv
other,56,6.683333333333333,4.833333333333334,374.26666666666665,5.61622464898596,Female_likely,train,002,Female_likely__train__mouse002,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse002/Manual_Scoring_annotator5.csv
investigation,34,4.245098039215685,1.8666666666666667,144.33333333333331,6.334747955698167,Female_likely,train,024,Female_likely__train__mouse024,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse024/Manual_Scoring_annotator5.csv
mount,3,1.2444444444444445,1.3333333333333333,3.7333333333333334,0.5589483490321913,Female_likely,train,024,Female_likely__train__mouse024,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse024/Manual_Scoring_annotator5.csv
other,32,5.436458333333333,4.366666666666667,173.96666666666667,5.96211572301004,Female_likely,train,024,Female_likely__train__mouse024,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse024/Manual_Scoring_annotator5.csv
investigation,29,2.2816091954022992,1.6333333333333333,66.16666666666667,4.959148774463234,Female_likely,train,025,Female_likely__train__mouse025,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse025/Manual_Scoring_annotator5.csv
mount,5,2.0933333333333333,1.9,10.466666666666667,0.8550256507695231,Female_likely,train,025,Female_likely__train__mouse025,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse025/Manual_Scoring_annotator5.csv
other,27,10.15679012345679,6.3,274.23333333333335,4.617138514155425,Female_likely,train,025,Female_likely__train__mouse025,annotator5,public_data/calms21_task2_converted_nas/CalMS21/Female_likely/task2_annotator5_train_mouse025/Manual_Scoring_annotator5.csv
attack,34,1.9431372549019608,1.4833333333333334,66.06666666666666,3.1750972762645913,Male_likely,test,005,Male_likely__test__mouse005,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse005/Manual_Scoring_annotator1.csv
investigation,87,2.011877394636015,0.8666666666666667,175.03333333333333,8.124513618677042,Male_likely,test,005,Male_likely__test__mouse005,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse005/Manual_Scoring_annotator1.csv
other,66,6.081818181818181,2.6333333333333333,401.4,6.163424124513618,Male_likely,test,005,Male_likely__test__mouse005,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse005/Manual_Scoring_annotator1.csv
attack,20,2.128333333333333,1.2833333333333332,42.56666666666666,2.0573779860555494,Male_likely,test,006,Male_likely__test__mouse006,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse006/Manual_Scoring_annotator1.csv
investigation,93,1.5129032258064514,0.7333333333333333,140.7,9.566807635158305,Male_likely,test,006,Male_likely__test__mouse006,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse006/Manual_Scoring_annotator1.csv
other,78,5.128205128205129,3.15,400.0,8.023774145616642,Male_likely,test,006,Male_likely__test__mouse006,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse006/Manual_Scoring_annotator1.csv
attack,17,2.7333333333333334,2.2333333333333334,46.46666666666667,1.7030276046304542,Male_likely,test,007,Male_likely__test__mouse007,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse007/Manual_Scoring_annotator1.csv
investigation,72,1.7259259259259259,0.95,124.26666666666667,7.212822796081924,Male_likely,test,007,Male_likely__test__mouse007,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse007/Manual_Scoring_annotator1.csv
other,65,6.587692307692308,2.466666666666667,428.2,6.511576135351737,Male_likely,test,007,Male_likely__test__mouse007,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse007/Manual_Scoring_annotator1.csv
attack,20,2.46,2.25,49.2,2.073613271124935,Male_likely,test,008,Male_likely__test__mouse008,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse008/Manual_Scoring_annotator1.csv
investigation,85,2.2737254901960786,1.1,193.26666666666668,8.812856402280973,Male_likely,test,008,Male_likely__test__mouse008,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse008/Manual_Scoring_annotator1.csv
mount,1,2.1,2.1,2.1,0.10368066355624675,Male_likely,test,008,Male_likely__test__mouse008,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse008/Manual_Scoring_annotator1.csv
other,81,4.125102880658436,1.9333333333333333,334.1333333333333,8.398133748055987,Male_likely,test,008,Male_likely__test__mouse008,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse008/Manual_Scoring_annotator1.csv
attack,12,3.3277777777777775,3.216666666666667,39.93333333333333,1.2776529042943334,Male_likely,test,009,Male_likely__test__mouse009,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse009/Manual_Scoring_annotator1.csv
investigation,83,3.4614457831325303,1.5333333333333334,287.3,8.837099254702473,Male_likely,test,009,Male_likely__test__mouse009,annotator1,public_data/calms21_task2_converted_nas/CalMS21/Male_likely/task2_annotator1_test_mouse009/Manual_Scoring_annotator1.csv
