behavior,n_true_bouts,n_pred_bouts,tp,fp,fn,bout_precision,bout_recall,bout_f1,mean_matched_iou,record_key,mouse_record,sex_group,version,annotator_a,annotator_b
1,25,22,18,4,7,0.8181818181818182,0.72,0.7659574468085107,0.7430509661862991,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator8
annotator_multi1,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator8
annotator_multi8,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator1,annotator8
0,26,33,26,7,0,0.7878787878787878,1.0,0.8813559322033898,0.9491108045366216,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator3
1,25,32,22,10,3,0.6875,0.88,0.7719298245614036,0.8526640449523175,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator3
annotator_multi2,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator3
annotator_multi3,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator3
0,26,46,25,21,1,0.5434782608695652,0.9615384615384616,0.6944444444444445,0.9202323250280883,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator4
1,25,45,24,21,1,0.5333333333333333,0.96,0.6857142857142858,0.870771149824067,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator4
annotator_multi2,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator4
annotator_multi4,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator4
0,26,5,2,3,24,0.4,0.07692307692307693,0.12903225806451613,0.5779702548414711,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator5
1,25,4,0,4,25,0.0,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator5
annotator_multi2,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator5
annotator_multi5,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator5
0,26,30,25,5,1,0.8333333333333334,0.9615384615384616,0.8928571428571429,0.9312450089400512,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator6
1,25,29,23,6,2,0.7931034482758621,0.92,0.851851851851852,0.9005440786664513,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator6
annotator_multi2,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator6
annotator_multi6,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator6
0,26,18,17,1,9,0.9444444444444444,0.6538461538461539,0.7727272727272727,0.8879086050595454,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator7
1,25,17,16,1,9,0.9411764705882353,0.64,0.7619047619047621,0.915698874519639,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator7
annotator_multi2,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator7
annotator_multi7,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator7
0,26,23,22,1,4,0.9565217391304348,0.8461538461538461,0.8979591836734695,0.8746725420549168,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator8
1,25,22,17,5,8,0.7727272727272727,0.68,0.7234042553191491,0.7505425164175544,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator8
annotator_multi2,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator8
annotator_multi8,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator2,annotator8
0,33,46,26,20,7,0.5652173913043478,0.7878787878787878,0.6582278481012658,0.9228403060570016,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator4
1,32,45,24,21,8,0.5333333333333333,0.75,0.6233766233766235,0.8540122577104513,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator4
annotator_multi3,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator4
annotator_multi4,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator4
0,33,5,2,3,31,0.4,0.06060606060606061,0.10526315789473685,0.5789778465892941,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator5
1,32,4,1,3,31,0.25,0.03125,0.05555555555555555,0.6666666666666666,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator5
annotator_multi3,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator5
annotator_multi5,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator5
0,33,30,26,4,7,0.8666666666666667,0.7878787878787878,0.8253968253968254,0.935825027225785,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator6
1,32,29,21,8,11,0.7241379310344828,0.65625,0.6885245901639345,0.8472079577030242,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator6
annotator_multi3,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator6
annotator_multi6,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator6
0,33,18,17,1,16,0.9444444444444444,0.5151515151515151,0.6666666666666666,0.8999309215816753,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator7
1,32,17,16,1,16,0.9411764705882353,0.5,0.6530612244897959,0.9197436297154112,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator7
annotator_multi3,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator7
annotator_multi7,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator7
0,33,23,22,1,11,0.9565217391304348,0.6666666666666666,0.7857142857142856,0.8721468121863161,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator8
1,32,22,17,5,15,0.7727272727272727,0.53125,0.6296296296296297,0.7289628684590134,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator8
annotator_multi3,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator8
annotator_multi8,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator3,annotator8
0,46,5,2,3,44,0.4,0.043478260869565216,0.0784313725490196,0.5305935121565282,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator5
1,45,4,0,4,45,0.0,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator5
annotator_multi4,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator5
annotator_multi5,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator5
0,46,30,28,2,18,0.9333333333333333,0.6086956521739131,0.7368421052631579,0.9296653849036345,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator6
1,45,29,24,5,21,0.8275862068965517,0.5333333333333333,0.6486486486486487,0.8736305189039522,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator6
annotator_multi4,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator6
annotator_multi6,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator6
0,46,18,15,3,31,0.8333333333333334,0.32608695652173914,0.46875000000000006,0.8490538110127849,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator7
1,45,17,16,1,29,0.9411764705882353,0.35555555555555557,0.5161290322580645,0.9120175898686429,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator7
annotator_multi4,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator7
annotator_multi7,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator7
0,46,23,21,2,25,0.9130434782608695,0.45652173913043476,0.608695652173913,0.8127375003843058,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator8
1,45,22,17,5,28,0.7727272727272727,0.37777777777777777,0.5074626865671642,0.7349985970568285,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator8
annotator_multi4,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator8
annotator_multi8,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator4,annotator8
0,5,30,2,28,3,0.06666666666666667,0.4,0.1142857142857143,0.528417716020908,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator5,annotator6
1,4,29,0,29,4,0.0,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator5,annotator6
annotator_multi5,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator5,annotator6
annotator_multi6,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator5,annotator6
0,5,18,3,15,2,0.16666666666666666,0.6,0.2608695652173913,0.555218773240763,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator5,annotator7
1,4,17,0,17,4,0.0,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator5,annotator7
annotator_multi5,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator5,annotator7
annotator_multi7,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator5,annotator7
0,5,23,2,21,3,0.08695652173913043,0.4,0.14285714285714285,0.5821323695566953,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator5,annotator8
1,4,22,0,22,4,0.0,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator5,annotator8
annotator_multi5,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator5,annotator8
annotator_multi8,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator5,annotator8
0,30,18,17,1,13,0.9444444444444444,0.5666666666666667,0.7083333333333334,0.8542456789156114,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator6,annotator7
1,29,17,16,1,13,0.9411764705882353,0.5517241379310345,0.6956521739130435,0.901032757167084,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator6,annotator7
annotator_multi6,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator6,annotator7
annotator_multi7,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator6,annotator7
0,30,23,22,1,8,0.9565217391304348,0.7333333333333333,0.8301886792452831,0.8560037272424291,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator6,annotator8
1,29,22,18,4,11,0.8181818181818182,0.6206896551724138,0.7058823529411765,0.7626661207656874,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator6,annotator8
annotator_multi6,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator6,annotator8
annotator_multi8,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator6,annotator8
0,18,23,18,5,0,0.782608695652174,1.0,0.878048780487805,0.8503254091053732,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator7,annotator8
1,17,22,14,8,3,0.6363636363636364,0.8235294117647058,0.717948717948718,0.7722072299375358,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator7,annotator8
annotator_multi7,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator7,annotator8
annotator_multi8,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v1,annotator7,annotator8
0,26,31,25,6,1,0.8064516129032258,0.9615384615384616,0.8771929824561403,0.9421990827471676,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator2
1,25,30,25,5,0,0.8333333333333334,1.0,0.9090909090909091,0.8908984598356581,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator2
annotator_multi1,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator2
annotator_multi2,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator2
0,26,30,26,4,0,0.8666666666666667,1.0,0.9285714285714286,0.977882529671183,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator3
1,25,29,22,7,3,0.7586206896551724,0.88,0.8148148148148148,0.8909456699788884,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator3
annotator_multi1,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator3
annotator_multi3,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator3
0,26,29,24,5,2,0.8275862068965517,0.9230769230769231,0.8727272727272727,0.9529296956175566,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator4
1,25,28,21,7,4,0.75,0.84,0.7924528301886793,0.9175706999104711,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator4
annotator_multi1,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator4
annotator_multi4,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator4
0,26,27,25,2,1,0.9259259259259259,0.9615384615384616,0.9433962264150944,0.9547171302349092,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator5
1,25,26,24,2,1,0.9230769230769231,0.96,0.9411764705882353,0.9253311589146515,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator5
annotator_multi1,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator5
annotator_multi5,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator5
0,26,25,23,2,3,0.92,0.8846153846153846,0.9019607843137256,0.9556151723868446,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator6
1,25,24,23,1,2,0.9583333333333334,0.92,0.9387755102040817,0.8637835914485111,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator6
annotator_multi1,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator6
annotator_multi6,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator6
0,26,24,24,0,2,1.0,0.9230769230769231,0.9600000000000001,0.959582677397551,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator7
1,25,23,22,1,3,0.9565217391304348,0.88,0.9166666666666666,0.9267163750258635,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator7
annotator_multi1,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator7
annotator_multi7,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator7
0,26,24,23,1,3,0.9583333333333334,0.8846153846153846,0.9199999999999999,0.9021445360617725,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator8
1,25,23,20,3,5,0.8695652173913043,0.8,0.8333333333333333,0.8392222733200887,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator8
annotator_multi1,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator8
annotator_multi8,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator1,annotator8
0,31,30,25,5,6,0.8333333333333334,0.8064516129032258,0.819672131147541,0.9283837386900204,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator3
1,30,29,21,8,9,0.7241379310344828,0.7,0.711864406779661,0.8393214575860368,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator3
annotator_multi2,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator3
annotator_multi3,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator3
0,31,29,25,4,6,0.8620689655172413,0.8064516129032258,0.8333333333333334,0.9136476643259428,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator4
1,30,28,23,5,7,0.8214285714285714,0.7666666666666667,0.793103448275862,0.834004341918102,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator4
annotator_multi2,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator4
annotator_multi4,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator4
0,31,27,26,1,5,0.9629629629629629,0.8387096774193549,0.896551724137931,0.925882956841871,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator5
1,30,26,26,0,4,1.0,0.8666666666666667,0.9285714285714286,0.8445197164355119,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator5
annotator_multi2,1,0,0,0,1,,0.0,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator5
annotator_multi5,0,1,0,1,0,0.0,,,,Female_likely/Mouse060_20160526_18-16-27,Mouse060_20160526_18-16-27,Female_likely,v2,annotator2,annotator5
